PACKAGE        VERSION            URL				                                         LICENSE
MegaCli        8.07.07-1 	  https://docs.broadcom.com/docs/12352792 				 https://raw.githubusercontent.com/Teradata/stacki/master/common/src/foundation/MegaCLI/LICENSE.txt
Python         3.6.6     	  https://www.python.org                  				 PYTHON SOFTWARE FOUNDATION LICENSE VERSION 2
fbtftp         n/a       	  https://github.com/facebook/fbtftp      				 BSD
fio            2.1.2     	  https://github.com/axboe/fio            				 GPL2
newt           0.52.20   	  https://pagure.io/newt                  				 GPL2
rcs            5.7       	  https://www.gnu.org/software/rcs        				 GPL2
redis          4.0.11    	  https://redis.io                        				 BSD-ish https://raw.githubusercontent.com/antirez/redis/unstable/COPYING
sc-im          0.4.0     	  https://github.com/andmarti1424/sc-im   				 BSD
storcli        007.0409.0000.0000 https://docs.broadcom.com/docs/007.0409.0000.0000_Unified_StorCLI.txt	 https://www.broadcom.com/support/download-search/?pg=&pf=&pn=&pa=&po=&dk=storcli
stream         n/a       	  https://github.com/jeffhammond/STREAM   				 https://raw.githubusercontent.com/jeffhammond/STREAM/master/LICENSE.txt
zeromq         4.2.2              http://zeromq.org/                      				 LGPL3

Django         1.11.6    https://www.djangoproject.com/                     OSI Approved :: BSD License
Flask          1.0.2     https://www.palletsprojects.com/p/flask/           OSI Approved :: BSD License
GitPython      2.1.11    https://github.com/gitpython-developers/GitPython  OSI Approved :: BSD License
Jinja2         2.10      http://jinja.pocoo.org/                            OSI Approved :: BSD License
MarkupSafe     1.0       http://github.com/pallets/markupsafe               OSI Approved :: BSD License
PyMySQL        0.8.1     https://github.com/PyMySQL/PyMySQL/                OSI Approved :: MIT License
PyNaCl         1.2.1     https://github.com/pyca/pynacl/                    Apache License 2.0
PyYAML         3.13      http://pyyaml.org/wiki/PyYAML                      OSI Approved :: MIT License
Werkzeug       0.14.1    https://www.palletsprojects.org/p/werkzeug/        OSI Approved :: BSD License
ansible        2.4.2.0   https://ansible.com/                               OSI Approved :: GNU General Public License v3 or later (GPLv3+)
asn1crypto     0.24.0    https://github.com/wbond/asn1crypto                OSI Approved :: MIT License
atomicwrites   1.2.1     https://github.com/untitaker/python-atomicwrites   OSI Approved :: MIT License
attrs          18.1.0    http://www.attrs.org/                              OSI Approved :: MIT License
bcrypt         3.1.4     https://github.com/pyca/bcrypt/                    Apache License, Version 2.0
certifi        2018.8.24 http://certifi.io/                                 OSI Approved :: Mozilla Public License 2.0 (MPL 2.0)
cffi           1.11.5    http://cffi.readthedocs.org                        MIT
chardet        3.0.4     https://github.com/chardet/chardet                 OSI Approved :: GNU Library or Lesser General Public License (LGPL)
click          6.7       http://github.com/mitsuhiko/click                  OSI Approved :: BSD License
configparser   3.5.0     http://docs.python.org/3/library/configparser.html OSI Approved :: MIT License
cryptography   2.3.1     https://github.com/pyca/cryptography               OSI Approved :: BSD License
docutils       0.14      http://docutils.sourceforge.net/                   OSI Approved :: GNU General Public License (GPL)
flake8         3.5.0     https://gitlab.com/pycqa/flake8                    OSI Approved :: MIT License
gitdb2         2.0.4     https://github.com/gitpython-developers/gitdb      OSI Approved :: BSD License
idna           2.7       https://github.com/kjd/idna                        OSI Approved :: BSD License
itsdangerous   0.24      http://github.com/mitsuhiko/itsdangerous           OSI Approved :: BSD License
jmespath       0.9.3     https://github.com/jmespath/jmespath.py            OSI Approved :: MIT License
lockfile       0.12.2    http://launchpad.net/pylockfile                    OSI Approved :: MIT License
mccabe         0.6.1     https://github.com/pycqa/mccabe                    OSI Approved :: MIT License
mod-wsgi       4.6.4     http://www.modwsgi.org/                            OSI Approved :: Apache Software License
more-itertools 4.3.0     https://github.com/erikrose/more-itertools         OSI Approved :: MIT License
netifaces      0.10.7    https://github.com/al45tair/netifaces              OSI Approved :: MIT License
paramiko       2.4.1     https://github.com/paramiko/paramiko/              OSI Approved :: GNU Library or Lesser General Public License (LGPL)
pexpect        4.6.0     https://pexpect.readthedocs.io/                    OSI Approved :: ISC License (ISCL)
pluggy         0.7.1     https://github.com/pytest-dev/pluggy               OSI Approved :: MIT License
psutil         5.4.7     https://github.com/giampaolo/psutil                OSI Approved :: BSD License
ptyprocess     0.6.0     https://github.com/pexpect/ptyprocess              OSI Approved :: ISC License (ISCL)
py             1.6.0     http://py.readthedocs.io/                          OSI Approved :: MIT License
pyasn1         0.4.4     https://github.com/etingof/pyasn1                  OSI Approved :: BSD License
pycodestyle    2.3.1     https://pycodestyle.readthedocs.io/                OSI Approved :: MIT License
pycparser      2.18      https://github.com/eliben/pycparser                BSD
pyflakes       1.6.0     https://github.com/PyCQA/pyflakes                  OSI Approved :: MIT License
pytest         3.7.4     https://docs.pytest.org/en/latest/                 OSI Approved :: MIT License
python-daemon  2.2.0     https://pagure.io/python-daemon/                   OSI Approved :: Apache Software License
pytz           2018.5    http://pythonhosted.org/pytz                       OSI Approved :: MIT License
pyzmq          17.1.2    https://pyzmq.readthedocs.org                      OSI Approved :: BSD License
redis          2.10.6    http://github.com/andymccurdy/redis-py             OSI Approved :: MIT License
requests       2.19.1    http://python-requests.org                         OSI Approved :: Apache Software License
setuptools     40.2.0    https://github.com/pypa/setuptools                 OSI Approved :: MIT License
six            1.11.0    http://pypi.python.org/pypi/six/                   OSI Approved :: MIT License
smmap2         2.0.4     https://github.com/gitpython-developers/smmap      OSI Approved :: BSD License
testinfra      1.14.1    http://github.com/philpep/testinfra                OSI Approved :: Apache Software License
urllib3        1.23      https://urllib3.readthedocs.io/                    OSI Approved :: MIT License
