NAME,DEFAULT,APPLIANCE,RACK,RANK,IP,MAC,INTERFACE,NETWORK,CHANNEL,OPTIONS,VLAN
backend-0-0,TRUE,backend,1,9,10.1.2.219,90:b1:1c:09:eb:af,eno1,private,,,
backend-0-0,,,,,,90:b1:1c:09:eb:b0,eno2,,,,
backend-0-0,,,,,,90:b1:1c:09:eb:b1,eno3,,bond0,,
backend-0-0,,,,,,90:b1:1c:09:eb:b2,eno4,,bond0,,
backend-0-0,,,,,,,bond0,,br0,"bonding-opts=""mode=1 primary=eno3""",
backend-0-0,,,,,,,br0,,,bridge,
backend-0-0,,,,,10.11.2.219,,br0.77,vlad,,,77
backend-0-1,TRUE,backend,1,7,10.1.2.240,ec:f4:bb:d6:c3:a8,em1,private,,,
backend-0-1,,,,,,ec:f4:bb:d6:c3:a9,em2,,,,
backend-0-1,,,,,,ec:f4:bb:d6:c3:aa,em3,,bond0,,
backend-0-1,,,,,,ec:f4:bb:d6:c3:ab,em4,,bond0,,
backend-0-1,,,,,,,bond0,,br0,"bonding-opts=""mode=1 primary=em3""",
backend-0-1,,,,,,,br0,,,bridge,
backend-0-1,,,,,10.11.2.240,,br0.77,vlad,,,77
