NAME,DEFAULT,APPLIANCE,RACK,RANK,IP,MAC,INTERFACE,NETWORK,CHANNEL,OPTIONS,VLAN
node239,,backend,1,9,,24:6e:96:05:68:f8,eno1,,,,
node239,,,,,,24:6e:96:05:68:fa,eno2,,,,
node239,TRUE,,,,10.1.2.239,24:6e:96:05:68:fc,eno3,private,,,
node239,,,,,192.168.18.239,24:6e:96:05:68:fd,eno4,public,,,
node239,,,,,10.11.2.239,,eno4.70,vlad,,,70
node240,TRUE,backend,1,7,10.1.2.240,ec:f4:bb:d6:c3:a8,em1,private,,,
node240,,,,,192.168.18.240,ec:f4:bb:d6:c3:a9,em2,public,,,
node240,,,,,10.11.2.240,,em2.70,vlad,,,70
node240,,,,,,ec:f4:bb:d6:c3:aa,em3,,,,
node240,,,,,,ec:f4:bb:d6:c3:ab,em4,,,,
