America/Los_Angeles		34.0500 N, 118.2500 W
America/Denver			39.7392 N, 104.9903 W
America/Phoenix			33.4500 N, 112.0667 W
America/Chicago			41.8369 N, 87.6847 W
America/New_York		40.7127 N, 74.0059 W
America/Adak			51.8720 N, 176.6360 W
America/Anchorage		61.2167 N, 149.9000 W
America/Boise			43.6167 N, 116.2000 W
America/Detroit			42.3314 N, 83.0458 W
America/Indiana/Indianapolis	39.7910 N, 86.1480 W
America/Indiana/Knox		41.2942 N, 86.6225 W
America/Indiana/Marengo		38.3706 N, 86.3433 W
America/Indiana/Petersburg	38.4917 N, 87.2803 W
America/Indiana/Tell_City	37.9531 N, 86.7614 W
America/Indiana/Vevay		38.7458 N, 85.0711 W
America/Indiana/Vincennes	38.6783 N, 87.5161 W
America/Indiana/Winamac		41.0500 N, 86.6000 W
America/Juneau			58.3000 N, 134.4167 W
America/Kentucky/Louisville	38.2500 N, 85.7667 W
America/Kentucky/Monticello	36.8381 N, 84.8500 W
America/Menominee		45.1078 N, 87.6142 W
America/Metlakatla		55.1269 N, 131.5764 W
America/Nome			64.5039 N, 165.3994 W
America/North_Dakota/Beulah	47.2681 N, 101.7772 W
America/North_Dakota/Center	47.1150 N, 101.3003 W
America/North_Dakota/New_Salem	46.8431 N, 101.4119 W
America/Sitka			57.0516 N, 135.3386 W
America/Yakutat			59.5469 N, 139.7272 W
Pacific/Honolulu		21.3000 N, 157.8167 W
Africa/Abidjan			5.3167 N, 4.0333 W
Africa/Accra			5.5500 N, 0.2000 W
Africa/Addis_Ababa		9.0300 N, 38.7400 E
Africa/Algiers			36.7667 N, 3.2167 E
Africa/Asmara			15.3333 N, 38.9333 E
Africa/Bamako			12.6500 N, 8.0000 W
Africa/Bangui			4.3667 N, 18.5833 E
Africa/Banjul			13.4531 N, 16.5775 W
Africa/Bissau			11.8500 N, 15.5667 W
Africa/Blantyre			15.7861 S, 35.0058 E
Africa/Brazzaville		4.2678 S, 15.2919 E
Africa/Bujumbura		3.3833 S, 29.3667 E
Africa/Cairo			30.0500 N, 31.2333 E
Africa/Casablanca		33.5333 N, 7.5833 W
Africa/Ceuta			35.8883 N, 5.3156 W
Africa/Conakry			9.5092 N, 13.7122 W
Africa/Dakar			14.6928 N, 17.4467 W
Africa/Dar_es_Salaam		6.8000 S, 39.2833 E
Africa/Djibouti			11.6000 N, 43.1667 E
Africa/Douala			4.0500 N, 9.7000 E
Africa/El_Aaiun			27.1536 N, 13.2033 W
Africa/Freetown			8.4844 N, 13.2344 W
